submission_id,submission_date,gender,age,education,how_likely_to_social_distance_when_out_in_public
4621122344845312,2020   12 26  ,Male,26 to 35 years old,University or college degree completed,Very likely
5073314990260224,<li>2020 12 10</li>,Male,16 to 25 years old,Some secondary school / high school,Neither likely nor unlikely
5703966068572160,  2020----11++++ 19,Female,36 to 45 years old,Some university or college,Very likely
5782300156755968,2020   12 07  ,Male,16 to 25 years old,Secondary/high school,Unlikely
6432502857334784,<li>2021 01 07</li>,Male,36 to 45 years old,University or college degree completed,Very likely
4685575711096832,  2021----01++++ 14,Female,16 to 25 years old,Secondary school/ high school completed,Likely
5590498342600704,2021   01 19  ,Female,16 to 25 years old,Some university or college,Very likely
6347167217483776,2020   11 16  ,Male,16 to 25 years old,Secondary school/ high school completed,Very unlikely
6289667873046528,  2020----11++++ 17,Female,36 to 45 years old,Some secondary school / high school,Very likely
6162578607964160,2020   12 20  ,Male,16 to 25 years old,College or university,Very likely
6066215287259136,2020 <12>>> 07,Female,26 to 35 years old,Secondary/high school,Unlikely
5149054549098496,2020   11 29  ,Male,16 to 25 years old,Secondary/high school,Very likely
6279356797419520,<li>2020 11 24</li>,Male,36 to 45 years old,Post-graduate education,Very likely
5109145712984064,2020 <11>>> 29,Female,26 to 35 years old,Technical school,Very likely
5675527789871104,<li>2020 12 27</li>,Male,26 to 35 years old,Some technical education (e.g polytechnic school),Very likely
6710834387746816,<li>2020 12 31</li>,Male,16 to 25 years old,Technical school,Very likely
4879371161829376,2020   11 22  ,Female,Over 45 years old,Secondary school/ high school completed,Likely
5288747815141376,<li>2020 12 07</li>,Male,36 to 45 years old,Some university or college,Neither likely nor unlikely
4923459410067456,2021 <01>>> 23,Male,16 to 25 years old,University or college degree completed,Unlikely
6538579615678464,2020 <11>>> 16,Male,16 to 25 years old,Some university or college,Likely
4620031951634432,  2020----11++++ 16,Female,Over 45 years old,University or college degree completed,Very likely
6636468864024576,2021   01 25  ,Male,16 to 25 years old,Some university or college,Very unlikely
5098367014404096,2020   12 09  ,Female,26 to 35 years old,Some secondary school / high school,Very likely
5811282243747840,2021   01 06  ,Female,26 to 35 years old,Technical school diploma or degree completed,Very likely
5572661980954624,<li>2020 12 28</li>,Female,16 to 25 years old,Secondary school/ high school completed,Very likely
6724313639288832,<li>2021 01 12</li>,Female,36 to 45 years old,Post-graduate education,Very likely
4763053045579776,2020   11 23  ,Male,16 to 25 years old,Technical school,Unlikely
5105652302348288,2021   01 07  ,Female,26 to 35 years old,Some technical education (e.g polytechnic school),Unlikely
6137802199924736,2021 <01>>> 09,Male,16 to 25 years old,Some technical education (e.g polytechnic school),Very likely
5952835306127360,<li>2021 01 12</li>,Male,26 to 35 years old,Secondary/high school,Neither likely nor unlikely
5145724036841472,  2020----11++++ 16,Female,Over 45 years old,Some university or college,Very likely
6454471136903168,<li>2020 11 18</li>,Female,16 to 25 years old,Secondary/high school,Likely
6661168398860288,  2021----01++++ 08,Female,16 to 25 years old,Some technical education (e.g polytechnic school),Very likely
5167091624968192,2020 <11>>> 24,Male,36 to 45 years old,Technical school diploma or degree completed,Neither likely nor unlikely
4658235912224768,2020   12 03  ,Male,16 to 25 years old,Technical school,Neither likely nor unlikely
4999279971401728,2020   12 08  ,Female,36 to 45 years old,University or college degree completed,Very likely
5394834388156416,2020 <11>>> 16,Female,26 to 35 years old,Some university or college,Very likely
6068586839015424,  2020----12++++ 19,Male,Over 45 years old,College or university,Likely
5252097825308672,2021   01 22  ,Male,16 to 25 years old,Technical school diploma or degree completed,Very likely
5287077811060736,2020   12 13  ,Male,Over 45 years old,Technical school diploma or degree completed,Likely
5272774076792832,<li>2020 12 20</li>,Female,16 to 25 years old,Some university or college,Very likely
5466460106522624,2020 <12>>> 05,Male,Over 45 years old,University or college degree completed,Very likely
4769688054923264,2021   01 20  ,Male,16 to 25 years old,Secondary school/ high school completed,Likely
5057411548446720,2020   12 06  ,Female,26 to 35 years old,College or university,Very likely
6419332960878592,2020   12 02  ,Male,26 to 35 years old,Secondary school/ high school completed,Very likely
4629771192631296,2020 <11>>> 16,Female,26 to 35 years old,Post-graduate education,Very likely
6016473517785088,  2020----12++++ 20,Male,26 to 35 years old,University or college degree completed,Very likely
4745120986693632,2020   12 14  ,Female,26 to 35 years old,Some technical education (e.g polytechnic school),Very likely
6194333322838016,2020 <11>>> 17,Male,16 to 25 years old,Some university or college,Likely
5313263966617600,2020 <11>>> 18,Female,36 to 45 years old,Secondary/high school,Unlikely
5368469991456768,2020   12 11  ,Female,16 to 25 years old,Secondary/high school,Likely
5890676685537280,  2020----12++++ 03,Female,16 to 25 years old,Secondary/high school,Neither likely nor unlikely
6282358132310016,2020 <12>>> 17,Female,16 to 25 years old,Secondary school/ high school completed,Unlikely
4701288974778368,2020 <11>>> 18,Male,16 to 25 years old,Secondary/high school,Neither likely nor unlikely
5446009317752832,2020 <12>>> 07,Female,26 to 35 years old,College or university,Very likely
