Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,Company,Region,Producer,Harvest.Year,Grading.Date,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Color,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
metad plc,Ethiopia,metad plc,,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,2014,"April 4th, 2015",Washed / Wet,8.033883630493444,7.9631694361654874,7.330932337372228,8.283544359082054,9.205563004974232,8.513634418876125,10.0,10.0,10.0,7.815877931391463,0.12,Green,m,1950.0,2200.0,2075.0
metad plc,Ethiopia,metad plc,,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,2014,"April 4th, 2015",Washed / Wet,5.721737332517838,7.097334980361253,5.360303051894246,5.0113472349033845,8.881138563214732,8.36083160129355,10.0,10.0,10.0,8.545422252227802,0.12,Green,m,1950.0,2200.0,2075.0
grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",,,,,,,"May 31st, 2010",,7.660252850110855,5.288095591994232,7.004593710104202,6.847208551141714,9.418287915309293,8.362968213502386,10.0,10.0,10.0,8.851911439490257,0.0,,m,1600.0,1800.0,1700.0
yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,,wolensu,yidnekachew debessa coffee plantation,oromia,Yidnekachew Dabessa Coffee Plantation,2014,"March 26th, 2015",Natural / Dry,5.2874302176939585,9.107080914293748,6.1501445771831085,9.257575985714498,8.971363680861614,7.942946396064117,10.0,10.0,10.0,8.626024179091369,0.11,Green,m,1800.0,2200.0,2000.0
metad plc,Ethiopia,metad plc,,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,2014,"April 4th, 2015",Washed / Wet,9.51469741757422,4.6354624803546525,8.265975003438022,7.905992597490981,9.239574023893391,7.8355036687383315,10.0,10.0,10.0,8.503447407668071,0.12,Green,m,1950.0,2200.0,2075.0
ji-ae ahn,Brazil,,,,,,,2013,"September 3rd, 2013",Natural / Dry,7.480316716118357,7.537333302774337,8.948570404755797,5.606264670775751,8.973021657968493,8.514014744675201,10.0,10.0,10.0,8.310347942752053,0.11,Bluish-Green,m,,,
hugo valdivia,Peru,,,hvc,richmond investment-coffee department,,HVC,2012,"September 17th, 2012",Washed / Wet,6.744460258512713,7.860110987204081,8.607769994940464,8.242770971854139,8.52319508157678,8.433811310043751,10.0,10.0,10.0,8.195036196197156,0.11,Bluish-Green,m,,,
ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,,oromia,Bazen Agricultural & Industrial Dev't Plc,March 2010,"September 2nd, 2010",,6.867299778372603,7.0831810794506564,8.8888080739972,7.54705323123108,10.0,8.293060604533851,10.0,10.0,9.33,8.024554862408102,0.03,,m,1570.0,1700.0,1635.0
ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,,oromiya,Bazen Agricultural & Industrial Dev't Plc,March 2010,"September 2nd, 2010",,5.48172697146614,7.027537179819762,4.837892560709051,6.790578173096862,10.0,8.018650366479521,9.33,10.0,9.33,8.728579048751563,0.03,,m,1570.0,1700.0,1635.0
diamond enterprise plc,Ethiopia,tulla coffee farm,,tulla coffee farm,diamond enterprise plc,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,2014,"March 30th, 2015",Natural / Dry,7.55968030203581,7.974512841106228,6.942770311735657,5.99235470494289,7.1138080691459775,8.049424858417847,10.0,10.0,10.0,9.007799570261396,0.1,Green,m,1795.0,1850.0,1822.5
mohammed lalo,Ethiopia,fahem coffee plantation,,,fahem coffee plantation,oromia,Fahem Coffee Plantation,2014,"March 27th, 2015",Natural / Dry,5.065915352888333,6.848697975892384,8.82883414734722,8.439461249052727,8.528693366543077,8.4713218397567,10.0,10.0,10.0,8.283402922657661,0.1,,m,1855.0,1955.0,1905.0
cqi q coffee sample representative,United States of America,el filo,,,coffee quality institute,antioquia,Alfredo De Jesús López Pérez,2014,"March 13th, 2015",Washed / Wet,6.115605276496308,7.399694909184736,7.9893008813468676,6.79586808483611,8.879837183956868,8.755917996927467,10.0,10.0,10.0,7.9899793768731175,0.0,,m,1872.0,1872.0,1872.0
cqi q coffee sample representative,United States of America,los cedros,,,coffee quality institute,antioquia,Jorge Walter Restrepo,2014,"March 13th, 2015",Washed / Wet,5.892868425519558,7.214754017448528,9.188592422412595,8.659971791662688,8.808374646973697,7.844600697446108,10.0,10.0,10.0,8.676493371535244,0.0,,m,1943.0,1943.0,1943.0
grounds for health admin,United States of America,arianna farms,,,,kona,"Robert, Sharon, Arianna Wood",Sept 2009 - April 2010,"May 31st, 2010",,3.361827670872953,9.51196676962832,7.836477312465731,7.0826273717949055,8.73538989189205,8.3514503387017,10.0,10.0,10.0,8.677903194468394,0.0,,ft,1828.8000000000006,1828.8000000000006,1828.8000000000006
ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,,oromiya,Bazen Agricultural & Industrial Dev't Plc,March 2010,"August 31st, 2010",,7.62428846846089,6.9109761318227765,8.890106294956285,8.978233382518981,8.017616843641688,8.373307419272287,9.33,10.0,9.33,8.498367813028457,0.05,,m,1570.0,1700.0,1635.0
cqi q coffee sample representative,United States of America,el águila,,,coffee quality institute,antioquia,María Leticia Diosa,2014,"March 13th, 2015",Washed / Wet,8.744926648141258,8.555141739756795,6.1544921031187805,7.4672077233917316,9.112489656025378,8.411434085305503,10.0,10.0,10.0,8.5144938894691,0.0,,m,2080.0,2080.0,2080.0
grounds for health admin,Indonesia,toarco jaya,,,,sulawesi,P.T. Toarco Jaya,May-August,"May 31st, 2010",,7.247890310337938,8.315631669062252,8.456417329000226,10.0,9.350543597424863,8.866460318305455,10.0,10.0,10.0,8.725632778041849,0.03,,m,1200.0,1800.0,1500.0
ethiopia commodity exchange,Ethiopia,,,,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,2009/2010,"June 16th, 2010",,9.109560774638954,7.025596567477845,7.56458714222965,10.0,9.046534953433557,8.453775504884106,9.33,10.0,9.33,7.995789230845934,0.05,,m,,,
yunnan coffee exchange,China,echo coffee,YNC-06114,echo coffee mill,yunnan coffee exchange,yunnan,Echo Coffee,2015,"April 7th, 2016",Washed / Wet,5.255053463616829,8.430890635214489,9.287639558323113,6.630294386128052,8.840158432206662,8.481223390145349,10.0,10.0,10.0,8.562044772327841,0.1,Green,m,1450.0,1450.0,1450.0
